95,25,4
100,90,8
60,35,4
65,60,2
70,40,4
70,35,4
65,65,2
25,75,3
70,30,4
50,0,6
95,90,1
90,90,8
75,90,1
65,90,2
95,25,6
100,100,1
100,95,2
100,100,1
85,100,1
95,100,1
90,75,3
70,70,3
90,20,4
65,15,4
80,40,5
25,80,3
40,80,3
65,90,1
85,35,6
75,10,4
95,25,6
90,15,5
10,25,4
90,90,6
100,100,6
90,90,6
70,70,10
70,55,3
90,75,10
90,80,8
65,75,7
10,85,3
90,85,1
75,75,1
15,10,4
0,60,2
90,80,1
85,90,1
10,65,2
90,90,1
90,80,8
75,80,1
5,65,2
65,90,2
85,85,1
20,50,2
35,65,1
25,65,2
0,50,7
60,65,3
100,85,8
50,35,4
75,75,0
30,65,3
80,80,8
75,75,8
70,65,8
80,75,8
70,45,4
75,80,8
65,35,4
70,45,2
45,80,3
80,80,1
80,75,8
65,70,2
30,40,4
85,100,1
70,70,8
65,90,1
70,25,4
10,90,7
85,75,8
70,80,1
90,95,1
75,10,5
75,95,2
65,75,1
65,95,1
65,90,1
90,40,4
95,95,8
95,75,8
80,75,3
70,95,1
75,50,9
35,50,3
70,90,1
100,75,1
80,95,1
100,100,8
100,100,7
100,25,7
100,100,8
90,90,7
100,100,8
10,50,3
55,35,4
100,100,8
10,50,3
15,50,3
25,40,4
35,60,3
80,95,1
25,80,3
100,10,10
